economy,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
AUT,4.82000017166138,4.55999994277954,4.86999988555908,5.34000015258789,5.61999988555908,5.71999979019165,6.01000022888184,5.5,4.84999990463257,4.48999977111816
BEL,8.28999996185303,7.1399998664856,7.53999996185303,8.43000030517578,8.52000045776367,8.47999954223633,7.82999992370605,7.09000015258789,5.94999980926514,5.3600001335144
BGR,10.2799997329712,11.2600002288818,12.2700004577637,12.9399995803833,11.4200000762939,9.14000034332275,7.57000017166138,6.15999984741211,5.21000003814697,4.23000001907349
CYP,6.26000022888184,7.8600001335144,11.8000001907349,15.8699998855591,16.0900001525879,14.9099998474121,12.9499998092651,11.0500001907349,8.36999988555908,7.07000017166138
CZE,7.28000020980835,6.71000003814697,6.98000001907349,6.94999980926514,6.1100001335144,5.05000019073486,3.95000004768372,2.89000010490417,2.24000000953674,2.00999999046326
DEU,6.96999979019165,5.82000017166138,5.38000011444092,5.23000001907349,4.98000001907349,4.61999988555908,4.11999988555908,3.75,3.38000011444092,3.14000010490417
DNK,7.75,7.76999998092651,7.80000019073486,7.38000011444092,6.92999982833862,6.28000020980835,5.98999977111816,5.82999992370605,5.13000011444092,5.01999998092651
ESP,19.8600006103516,21.3899993896484,24.7900009155273,26.0900001525879,24.4400005340576,22.0599994659424,19.6399993896484,17.2199993133545,15.25,14.1000003814697
EST,16.7099990844727,12.3299999237061,10.0200004577637,8.63000011444092,7.34999990463257,6.40999984741211,6.88000011444092,5.80999994277954,5.40999984741211,4.51000022888184
FIN,8.39000034332275,7.78000020980835,7.69000005722046,8.1899995803833,8.65999984741211,9.38000011444092,8.81999969482422,8.64000034332275,7.3600001335144,6.69000005722046
FRA,8.86999988555908,8.8100004196167,9.39999961853027,9.92000007629395,10.289999961853,10.3500003814697,10.0500001907349,9.40999984741211,9.02000045776367,8.40999984741211
GRC,12.710000038147,17.8600006103516,24.4400005340576,27.4699993133545,26.4899997711182,24.8999996185303,23.5400009155273,21.4899997711182,19.2900009155273,17.3099994659424
HRV,11.6199998855591,13.6800003051758,15.9300003051758,17.25,17.2900009155273,16.1800003051758,13.1000003814697,11.210000038147,8.43000030517578,6.61999988555908
HUN,11.1700000762939,11.0299997329712,11.0,10.1800003051758,7.73000001907349,6.80999994277954,5.1100001335144,4.15999984741211,3.71000003814697,3.42000007629395
IRL,14.5299997329712,15.3500003814697,15.4499998092651,13.7299995422363,11.8599996566772,9.90999984741211,8.36999988555908,6.71000003814697,5.73999977111816,4.94999980926514
ITA,8.35999965667725,8.35999965667725,10.6499996185303,12.1499996185303,12.6800003051758,11.8999996185303,11.6899995803833,11.210000038147,10.6099996566772,9.94999980926514
LTU,17.8099994659424,15.3900003433228,13.3599996566772,11.7700004577637,10.6999998092651,9.11999988555908,7.8600001335144,7.07000017166138,6.15000009536743,6.26000022888184
LUX,4.3600001335144,4.90000009536743,5.1399998664856,5.84999990463257,5.84999990463257,6.67000007629395,6.28999996185303,5.51999998092651,5.59000015258789,5.59000015258789
LVA,19.4799995422363,16.2099990844727,15.0500001907349,11.8699998855591,10.8500003814697,9.86999988555908,9.64000034332275,8.72000026702881,7.40999984741211,6.30999994277954
MLT,6.84999990463257,6.38000011444092,6.19999980926514,6.1100001335144,5.73000001907349,5.38000011444092,4.69000005722046,4.0,3.66000008583069,3.61999988555908
NLD,4.98999977111816,4.98000001907349,5.82000017166138,7.23999977111816,7.42000007629395,6.86999988555908,6.01000022888184,4.84000015258789,3.82999992370605,3.38000011444092
POL,9.64000034332275,9.63000011444092,10.0900001525879,10.3299999237061,8.98999977111816,7.5,6.15999984741211,4.8899998664856,3.84999990463257,3.27999997138977
PRT,10.7700004577637,12.6800003051758,15.5299997329712,16.1900005340576,13.8999996185303,12.4499998092651,11.0699996948242,8.86999988555908,6.98999977111816,6.46000003814697
ROU,6.96000003814697,7.17999982833862,6.78999996185303,7.09999990463257,6.80000019073486,6.80999994277954,5.90000009536743,4.92999982833862,4.19000005722046,3.91000008583069
SVK,14.3800001144409,13.6199998855591,13.960000038147,14.2200002670288,13.1800003051758,11.4799995422363,9.67000007629395,8.13000011444092,6.53999996185303,5.75
SVN,7.23999977111816,8.17000007629395,8.84000015258789,10.1000003814697,9.67000007629395,8.96000003814697,8.0,6.55999994277954,5.1100001335144,4.44999980926514
SWE,8.60999965667725,7.80000019073486,7.98000001907349,8.05000019073486,7.94999980926514,7.42999982833862,6.98999977111816,6.71999979019165,6.3600001335144,6.82999992370605
